"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"radA",15593.0787471985,-0.264229728643167,0.0829247802185587,-3.18637840156773,0.00144066033902064,0.00362061970414236
"disA",10670.1145199593,-0.337684391195483,0.0911797794442404,-3.70350085571318,0.000212644463776783,0.000640341985580248
"pgaptmp_000119",9977.46967564323,-0.504227294885799,0.0867348556848435,-5.813433260533,6.12043797683808e-09,3.79671169163189e-08
"ispD",3184.65203220606,-0.417725472804785,0.100026883815216,-4.17613202443121,2.96507770120876e-05,0.000103140366391579
"ispF",1396.88922944466,-0.912805281456471,0.141576048434126,-6.44745556577099,1.13743503403327e-10,9.18336919017754e-10
"gltX",45692.9957468246,-0.198752629294611,0.0896253719648583,-2.21759335484311,0.0265825713951293,0.0504283031257243
"cysE",1529.77887047933,0.116774836813222,0.112301578644073,1.03983254931194,0.298417704022639,0.4030154914268
"cysS",8256.36425933407,0.113250749402809,0.108650982839091,1.04233525039097,0.297256274717522,0.40188443679572
"pgaptmp_000125",603.543883050248,0.315570343279492,0.254347354778319,1.24070621278736,0.214714298363508,0.309219341636462
"rlmB",3533.43058485415,0.36338736445904,0.105299919592907,3.4509747572829,0.000558565809141342,0.00155845722760425
"rae1",3086.69837988572,0.210385737280254,0.109849403257089,1.91521966476115,0.0554644956608835,0.0975148100376988
"sigH",7079.81084231039,-0.102365745302379,0.0946085613840357,-1.08199240961772,0.279255900710676,0.38184807584318
"rpmG",2886.67915455602,-0.32238482156412,0.0928188853078973,-3.47326754134905,0.00051416254344325,0.00144213488070518
"secE",1551.43355126944,-0.401333575988245,0.19357750435144,-2.07324491207213,0.0381494925803178,0.069809445124849
"nusG",1519.45855265658,-0.100819926557526,0.142711420790767,-0.70646011369574,0.479902048775216,0.584296835309569
"rplK",75334.4334454872,-0.794325526615943,0.120881611093962,-6.57110307703054,4.99438686383303e-11,4.21521721251395e-10
"rplA",75275.4703976145,-0.861211487905423,0.113945336115347,-7.55811090884506,4.08965273316661e-14,5.34094297292846e-13
"rplJ",155475.973069681,-0.270442216237704,0.0891710931683729,-3.03284625800264,0.00242258989294194,0.00584752242641368
