"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"pgaptmp_000039",4025.04455348105,-0.477026915025139,0.125856340138263,-3.79024937878447,0.000150496113349609,0.00024578610525987
"pgaptmp_000040",3526.82645099253,-0.773011233987254,0.0973458120755618,-7.94087816933744,2.00754788556008e-15,5.36402959802916e-15
"tmk",908.895285035716,-0.00128584497655384,0.146815829589261,-0.00875821755835988,0.993012042766957,0.994818383417557
"darA",4128.89245621747,-0.341872788068193,0.0922873099944048,-3.70443984215078,0.000211858376947318,0.000342098429066342
"pgaptmp_000043",7001.50894222187,0.0667724039120255,0.11845523950306,0.56369312317587,0.572962998292063,0.623011475209774
"holB",13493.7662439959,-0.467403811754196,0.0983308807975102,-4.7533776567781,2.00046175087531e-06,3.64271948960758e-06
"ricT",12489.8060123723,-0.733052534559462,0.085278044168912,-8.59602892753367,8.2522009216589e-18,2.37729812928904e-17
"yabA",2342.88678578777,-0.574340843553777,0.139027433845701,-4.13113317038711,3.60979375215094e-05,6.07673104726631e-05
"pgaptmp_000047",1301.56031295847,-0.0246762610154109,0.123613347162713,-0.199624567911176,0.841774212089444,0.871511437384398
"pgaptmp_000048",163.540014615358,0.410768862860706,0.294794117481126,1.39340929313831,0.163496057104134,0.200835750673791
"rsmI",1534.85715655181,1.20589408067709,0.14066818407299,8.57261425974881,1.01161902731339e-17,2.89411684831701e-17
"abrB",8470.29262496307,-1.34168509966425,0.111866206499132,-11.9936586897193,3.83580508934069e-33,1.66397045950187e-32
"metG",14429.1872867105,0.392706882717296,0.0942891895032874,4.16491948638083,3.11462460287814e-05,5.26698444884709e-05
"pgaptmp_000052",2828.45898818181,0.934206161116931,0.112287205621932,8.31979169792839,8.81180362315712e-17,2.45674405134013e-16
"pgaptmp_000053",2499.07775050097,-1.85269345881851,0.184227720324195,-10.0565401100238,8.59665875768071e-24,2.94901049733526e-23
"rnmV",1251.44093907198,-1.35125124370184,0.152717425107839,-8.84804888995265,8.90626363610793e-19,2.63506464654958e-18
"rsmA",3538.02754098847,-0.804152581079264,0.0918278404605809,-8.75717622287398,2.0020253043188e-18,5.86735289974376e-18
"yabG",110.661681776839,-1.42140162569261,0.399823712721996,-3.55507084863907,0.000377877252674268,0.000600794162517568
"veg",23326.8742270284,0.43625346913757,0.155303898953373,2.80903101646241,0.00496908589956166,0.00723589112604402
"pgaptmp_000058",908.72232231094,-1.43320055486845,0.150832681273181,-9.50192320902065,2.06049105742213e-21,6.60563972069352e-21
"ispE",4734.75035027474,-0.349487005735934,0.108507865126419,-3.22084491597689,0.00127813290971375,0.00195850584189155
"purR",6901.37551385302,0.146253126088523,0.103406443453471,1.41435215450893,0.157258530734902,0.193556961440247
"ridA",3964.7465002905,0.61374314466567,0.136560393071272,4.49429831638924,6.97997212285679e-06,1.22718262830765e-05
"spoVG",9522.94298830462,1.50367832118844,0.153661713082104,9.78564074959253,1.29770693667557e-22,4.33189705677711e-22
"glmU",13610.4992248091,-0.812156696110356,0.113211602447129,-7.17379383875116,7.29474369918912e-13,1.77573813266069e-12
"pgaptmp_000064",12563.3678283361,0.409490405058523,0.0818942123431457,5.00023619914327,5.72601234571047e-07,1.07420453380718e-06
"pgaptmp_000065",11377.9122648737,1.30598693825717,0.119722662753683,10.9084354475485,1.0504868021141e-27,4.03499677757347e-27
"pth",2689.94036443364,-0.114501141207688,0.111462835625641,-1.0272584630114,0.304298775641539,0.356949272908228
"pgaptmp_000067",655.073717446209,0.18998420714698,0.192753469622713,0.985633138115992,0.324313170481829,0.376863446935176
"mfd",13053.4711687428,0.590927106132314,0.0785577143637761,7.52220340062233,5.38607033571558e-14,1.37969399790319e-13
"spoVT",2179.84713892144,0.0629700584666686,0.109490329224101,0.575119820288272,0.565210264137,0.615661307138785
"pgaptmp_000070",3547.63372331936,-2.10207429539266,0.110074856790592,-19.096770658459,2.68594766003845e-81,2.50553814302334e-80
"mazG",7200.60183951244,-1.54099175050732,0.141478013188186,-10.8920935188536,1.25716603691421e-27,4.82388864886051e-27
"pgaptmp_000072",4583.35516171923,-0.966501708418712,0.119290315956215,-8.10209697804358,5.40198539170113e-16,1.47190260819265e-15
"yabP",5809.19008556521,-0.874382730945788,0.12439628493008,-7.02901000168341,2.0800407039504e-12,4.99156125087258e-12
"yabQ",9118.90121184593,-0.850503529220676,0.102292327667278,-8.31444105942207,9.2185704132385e-17,2.56630658773924e-16
"divIC",6186.25339354869,-0.472777043740388,0.102048084018549,-4.63288505891452,3.60604770756124e-06,6.47765905769446e-06
"pgaptmp_000076",6191.98912103475,-0.331670423016319,0.0861201809694527,-3.85125088315786,0.000117516032886821,0.000193110231525275
"spoIIE",470.556793743167,-0.537725524065429,0.189065489616054,-2.84412308749428,0.00445338403991995,0.00651808706118051
"pgaptmp_000080",145.596840837574,-0.589491117691054,0.361750250356763,-1.6295527566593,0.103196056168732,0.13020193934238
"pgaptmp_000081",63.9467056015261,-0.887512212709936,0.49815424957316,-1.78160120779938,0.0748142873439568,0.0960533899600577
"tilS",9829.93551434495,-2.66069135573851,0.133307619716935,-19.9590343101783,1.2510646814785e-88,1.25850344444945e-87
"hpt",7158.08246730559,-1.30360457958955,0.137774864504748,-9.46184621030507,3.02553315198832e-21,9.66612394137385e-21
"ftsH",116013.560849282,-0.588667115302487,0.0700503575435652,-8.40348480643211,4.33420911471768e-17,1.21566890165631e-16
"pgaptmp_000085",2813.14581726443,-1.7617717838375,0.104268387118998,-16.8965094072746,4.77340505414167e-64,3.52512174831652e-63
"hslO",7572.70795193576,-0.783762282960246,0.102297014758473,-7.66163396664835,1.83582241869973e-14,4.76827009239386e-14
"pgaptmp_000087",1603.71186320215,-1.59661767348009,0.142218641829209,-11.2265006397507,3.02211865982366e-29,1.20174419357518e-28
"cysK",18456.4125668394,0.905503468989381,0.0809271825887595,11.1891139666977,4.61017315092469e-29,1.82737640764022e-28
"pabB",1742.50960630737,-0.325831742479314,0.110773405593912,-2.94142570351038,0.00326705204775626,0.0048523414691735
"pabA",6153.52588213272,-1.16819205632879,0.0964159241636297,-12.1161734066484,8.67141485821132e-34,3.81952734938018e-33
"pabC",4494.32262287864,-1.34935828852564,0.110169283516299,-12.2480445134783,1.72095590778131e-34,7.70806003461136e-34
"folP",5048.02457487795,-0.63066027279796,0.0911436852188082,-6.91940721163443,4.53537432484376e-12,1.07863662856668e-11
"folB",2844.74788853148,-0.136346943505356,0.107555241118745,-1.26769223040302,0.204907880498755,0.247458511102
"folK",4187.13591389711,-0.245205103011,0.0857088620316677,-2.86090722941113,0.00422430643389755,0.00619986930085437
"pgaptmp_000095",1150.90912270185,-0.897205361569394,0.141800809738865,-6.32722311827168,2.49612309112655e-10,5.51369148081484e-10
"dusB",8432.87004464453,-1.3263804520825,0.12615762568389,-10.5136764019797,7.4722615759664e-26,2.7159919517331e-25
"lysS",18423.0631527803,0.942574744836839,0.114845290366287,8.20734347773943,2.26135967181476e-16,6.21623389844502e-16
"ctsR",1101.9561253641,0.382343382516795,0.159027233951883,2.40426355294892,0.0162050855724584,0.022347287328896
"pgaptmp_000114",1728.04378795329,0.753038826544166,0.129637072190147,5.80882315391724,6.29135000451881e-09,1.30599022402783e-08
"pgaptmp_000115",5662.78190121855,0.800152709944218,0.120464461415492,6.64223041835072,3.08971437013026e-11,7.06383101082607e-11
"clpC",53105.2132694272,0.980803881315615,0.0879560074503602,11.1510732438504,7.0747840384642e-29,2.78649166044061e-28
"radA",15593.0787471985,-0.958688599965912,0.0833120220907979,-11.507205993885,1.21346349666039e-30,4.99614063558626e-30
"disA",10670.1145199593,-1.54691934420299,0.0920762539739916,-16.8004157145657,2.4233956571838e-63,1.77906876450456e-62
"pgaptmp_000119",9977.46967564323,-1.74969952667662,0.087835638948676,-19.9201548211996,2.72148138235846e-88,2.73028401755747e-87
"ispD",3184.65203220606,-0.851392469471554,0.10119222055802,-8.41361583703356,3.97561286745308e-17,1.11677215793663e-16
"ispF",1396.88922944466,0.807667532297618,0.13840771671471,5.83542270235122,5.36543667407535e-09,1.11877620733381e-08
"gltX",45692.9957468246,0.468765526355819,0.0895965968706006,5.23195682345872,1.67724932791682e-07,3.22788107471892e-07
"cysE",1529.77887047933,1.57334241600226,0.109903343189181,14.3156920467288,1.74617187900521e-46,9.90739593545336e-46
"cysS",8256.36425933407,1.62374936243076,0.108168188415426,15.0113391581883,6.18855318865762e-51,3.79469439344047e-50
"pgaptmp_000125",603.543883050248,1.79432956897866,0.251678259980042,7.12945794015323,1.00764962951767e-12,2.44330418310409e-12
"rlmB",3533.43058485415,1.6622735988649,0.104400150379586,15.9221379741416,4.44910637926495e-57,3.00536732189186e-56
"rae1",3086.69837988572,1.60665853055637,0.108726129936757,14.777115045766,2.05794048474314e-49,1.22947905043563e-48
"sigH",7079.81084231039,0.650701801181835,0.0943886871421207,6.89385371153723,5.4300865804698e-12,1.28649155012786e-11
"rpmG",2886.67915455602,0.483298598826996,0.0921678258069359,5.24368015189338,1.57404970937526e-07,3.03869969828564e-07
"secE",1551.43355126944,0.690373241631299,0.192604971115228,3.58439991259767,0.000337854088825822,0.000538540864500947
"nusG",1519.45855265658,1.88672552149092,0.13958036794166,13.5171267228605,1.2392202839177e-41,6.4149901206421e-41
